,total assets
2020-12-01,100000.0
2020-12-02,101218.09
2020-12-03,102313.61
2020-12-04,104104.29000000001
2020-12-07,103834.33
2020-12-08,103236.20000000001
2020-12-09,103111.01000000001
2020-12-10,103838.73000000001
2020-12-11,103272.53
2020-12-14,103244.19
2020-12-15,103617.91
2020-12-16,104071.26999999999
2020-12-17,104139.55
2020-12-18,102840.31
2020-12-21,103020.45
2020-12-22,100954.0
2020-12-23,99746.98999999999
2020-12-24,99659.33
2020-12-25,100462.76000000001
2020-12-28,100967.22
2020-12-29,101612.4
2020-12-30,103518.95999999999
2021-01-04,103281.61
2021-01-05,101176.35
2021-01-06,99769.26999999999
2021-01-07,101285.04999999999
2021-01-08,101423.35
2021-01-12,101544.54999999999
2021-01-13,101455.97
2021-01-14,101730.75
2021-01-15,102619.61
2021-01-18,102090.13
2021-01-19,102344.15
2021-01-20,103115.93
2021-01-21,102341.12
2021-01-22,102629.39000000001
2021-01-25,102018.73000000001
2021-01-26,102642.07
2021-01-27,101884.42
2021-01-28,102885.04000000001
2021-01-29,103272.11
2021-02-01,103528.59
2021-02-02,102599.12
2021-02-03,104452.17
2021-02-04,108199.79
2021-02-05,108669.84
2021-02-08,112440.28
2021-02-09,114332.01000000001
2021-02-10,113995.56
2021-02-12,114391.03
2021-02-15,115640.95999999999
2021-02-16,115654.47
2021-02-17,115890.28
2021-02-18,116991.5
2021-02-19,116461.47
2021-02-22,113931.98000000001
2021-02-24,115940.23999999999
2021-02-25,117864.42
2021-02-26,117674.68
2021-03-01,115365.65
2021-03-02,115930.35
2021-03-03,115329.17
2021-03-04,116339.83
2021-03-05,115850.38
2021-03-08,115419.70999999999
2021-03-09,115408.27
2021-03-10,118512.63
2021-03-11,118155.31
2021-03-12,116288.23000000001
2021-03-15,116341.47
2021-03-16,117161.70999999999
2021-03-17,119228.01000000001
2021-03-18,118509.31999999999
2021-03-19,118177.73000000001
2021-03-22,119352.26000000001
2021-03-23,119843.34
2021-03-24,117504.58
2021-03-25,114315.46
2021-03-26,115316.1
2021-03-29,116831.74
2021-03-30,116938.66
2021-03-31,116724.57
2021-04-01,114238.45999999999
2021-04-02,113815.39
2021-04-05,113024.72
2021-04-06,114244.70999999999
2021-04-07,113171.03
2021-04-08,112433.29999999999
2021-04-09,110835.23999999999
2021-04-12,111008.68
2021-04-13,111781.72
2021-04-14,110880.81
2021-04-15,111322.29000000001
2021-04-16,111288.36
2021-04-19,112126.79
2021-04-20,110605.13
2021-04-21,109024.61000000002
2021-04-22,107393.73
2021-04-23,108025.93000000001
2021-04-26,109786.43000000001
2021-04-27,112305.01000000001
2021-04-28,111263.51
2021-04-30,109135.59000000001
2021-05-06,110725.6
2021-05-07,112212.74
2021-05-10,112569.32
2021-05-11,113322.2
2021-05-12,111728.06
2021-05-13,110328.4
2021-05-14,109037.91
2021-05-17,110923.1
2021-05-18,111410.91
2021-05-19,113568.33
2021-05-20,112816.73999999999
2021-05-21,111806.98
2021-05-24,111218.89000000001
2021-05-25,112107.41
2021-05-26,112431.11
2021-05-27,113635.20000000001
2021-05-28,113134.4
2021-05-31,114481.08000000002
2021-06-01,113029.05000000002
2021-06-02,113109.92000000001
2021-06-03,117797.92
2021-06-04,119579.89
2021-06-07,119783.54999999999
2021-06-08,119702.63999999998
2021-06-09,120653.72
2021-06-10,123889.79000000001
2021-06-11,124088.99
2021-06-14,122353.24
2021-06-15,122579.09999999999
2021-06-16,123210.49
2021-06-17,122344.54999999999
2021-06-18,122039.68
2021-06-21,119406.79999999999
2021-06-22,117309.29999999999
2021-06-23,120984.40999999999
2021-06-24,119808.84
2021-06-25,117438.65
2021-06-28,117707.57999999999
2021-06-29,117564.54999999999
2021-06-30,116523.31999999999
2021-07-01,115503.99
2021-07-02,115429.01999999999
2021-07-05,116217.92000000001
2021-07-06,116836.94
2021-07-07,117676.41
2021-07-08,116180.73000000001
2021-07-09,115443.48000000001
2021-07-12,115820.17000000001
2021-07-13,116193.51999999999
2021-07-14,116077.62
2021-07-15,114978.85999999999
2021-07-16,113327.53
2021-07-19,112582.37
2021-07-20,111151.72
2021-07-21,109155.59999999999
2021-07-26,110019.04999999999
2021-07-27,110966.03
2021-07-28,112742.84
2021-07-29,111716.66
2021-07-30,110812.57999999999
2021-08-02,109780.69
2021-08-03,109811.75
2021-08-04,109086.69999999998
2021-08-05,109059.15
2021-08-06,108773.5
2021-08-10,108882.32
2021-08-11,109762.54999999999
2021-08-12,112116.66999999998
2021-08-13,111333.31
2021-08-16,110833.7
2021-08-17,109871.73
2021-08-18,109628.91
2021-08-19,109188.91999999998
2021-08-20,107995.38
2021-08-23,108410.02
2021-08-24,109588.93
2021-08-25,110793.35999999999
2021-08-26,110315.23
2021-08-27,111171.72
2021-08-30,111509.19
2021-08-31,112501.69
2021-09-01,110937.16999999998
2021-09-02,111248.16999999998
2021-09-03,108914.74999999999
2021-09-06,110688.51999999999
2021-09-07,111459.09
2021-09-08,112985.10999999999
2021-09-09,112951.56
2021-09-10,112974.16
2021-09-13,113696.0
2021-09-14,113230.13
2021-09-15,113170.51
2021-09-16,112052.53
